Semana epidemiológica2018,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Null
Óbitos2018,49,42,36,33,37,37,34,39,56,57,62,78,94,150,183,215,198,218,201,241,238,230,214,229,233,227,227,205,179,148,125,89,111,119,85,70,73,67,50,43,60,48,36,35,37,41,43,44,38,35,34,29,Null
Semana epidemiológica2019,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Null
Óbitos2019,44,41,45,42,37,41,58,72,63,78,84,77,96,113,134,142,164,165,207,216,254,252,218,211,199,180,173,176,187,168,133,110,102,91,75,78,73,62,60,65,55,64,53,46,49,47,46,30,54,34,47,25,Null
Semana epidemiológica2020,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Óbitos2020,77,83,83,79,104,78,87,123,125,315,805,2347,3523,4583,5971,8072,10455,12380,11887,12151,10603,9628,10397,9398,9757,8772,10072,9868,8833,8708,7924,7321,7361,6607,5979,6070,5295,4845,4575,4853,4435,3558,3745,3671,4712,5371,6344,6527,7837,7401,6945,7525,8871
Semana epidemiológica2021,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Óbitos2021,8995,8801,7685,6795,8470,9275,12416,13462,18413,16820,13286,6700,2671,392,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
